adsh,fraud,AccountsReceivable,Cash,CashFlowfromOps,CurrentLiabilities,Depreciation,Expenses,IntangibleAssets,OtherCurrentAssets,OtherIncome,OtherLiabilities,PPE,Sales,ShareholdersEquity,sum_of_first_digits,total_deviation
0000026058-18-000020,0.0,281119000.0,479116000.0,241300000.0,354436000.0,473471000.0,1088087000.0,755098000.0,3720882018.77,5321464000.0,1840908000.0,390860000.0,2029850000.0,6436027000.48,982,0.005285163353000001
0000026172-18-000011,0.0,7188000000.0,9160000000.0,6281000000.0,14280000000.0,12531000000.0,20364001989.24,7345000000.0,150036000097.39,2007000000.0,36463000000.0,33207000000.0,166754000000.0,146768000005.0,1518,0.0027603523609999996
0000026324-18-000003,0.0,2943989000.0,1442658000.0,994793000.0,1107240000.0,1731579000.0,5349283126.75,6160460000.0,19681478000.0,192106000.0,14160661000.0,6284758000.0,22329223000.0,14309523003.599997,1214,0.004556682681
0000026780-18-000004,0.0,2278000000.0,1601000000.0,1344000000.0,5023000000.0,5584000000.0,19005000000.0,2914000000.0,53455000000.0,1099000000.0,18403000000.0,16956000000.0,51261000000.0,30483000000.99,1444,0.003738247462
0000027419-18-000010,0.0,1678000000.0,9437000000.0,36634000000.0,36366000000.0,59858000000.0,311411000207.86,8549000000.0,149352000000.0,5223000000.0,82685000000.0,240151000000.0,367825000000.0,249226001350.8266,1354,0.009673587225999999
0000027904-18-000006,0.0,4999000000.0,-3033000000.0,20492000000.0,25403000000.0,44397000000.0,167985000079.18,46914000000.0,315020000000.0,8341000000.0,204080000000.0,83339000000.0,427435000000.0,236042000002.1502,1068,0.00696047338
0000027996-18-000034,0.0,716260000.0,321574006.00000006,967374000.0,2741903000.0,1044570000.0,3971263762.51,13492174000.0,9227703036.94,1479138000.0,3366431000.0,3468120000.0,17133098000.0,15710771340.22,1582,0.007704527084
0000028412-18-000065,0.0,561880000000.0,26595000000.0,2470000000.0,6419000000.0,2191000000.0,43874000000.0,1614000000.0,994700000040.86,5744000000.0,289078000000.0,5980000000.0,59000000.0,321546000012.81,1760,0.005265300063
0000028823-18-000066,0.0,2113000000.0,4201800002.51,156500000.0,1433900000.0,1542200000.0,25558700189.48,13085000000.0,13860500016.98,217400000.0,8637800000.0,4957400000.0,29271900000.0,5023900003.75,1822,0.0035364012329999997
0000028917-18-000159,0.0,71020000.0,583355000.0,1244691000.0,3936919005.0,6466941000.0,2953798212.31,0.0,20780925002.73,5960000.0,6930350000.0,15705567000.0,64254718000.0,34274973000.88,958,0.006146975481
0000029332-18-000026,0.0,272907000.0,12597000.0,23245000.0,185760000.0,405013000.0,1016073000.0,35833000.0,1634123000.0,19209000.0,1540746000.0,1565899000.0,1232398000.0,1522145012.0,1232,0.01032600161
