adsh,AccountsReceivable,Cash,CashFlowfromOps,OtherIncome,sum_of_first_digits,total_deviation,CurrentRatio,DebtToEquityRatio,ProfitMargin,ReceivableTurnover,AQI,DEPI,TATA,fraud
0001558370-18-002483,-0.022980193460744834,0.0012538617554877097,-0.25113394103721703,0.277327324973128,0.5264305206672917,-0.2737301356117007,-0.013283485307142974,-0.013332376837302283,0.023098359659533604,-0.037381511945411505,-0.2251987791769935,0.0033786037781084913,-0.0233893804959666,0.0
0001558370-18-002485,-0.04933634333914872,-0.02865380377185108,0.058051017515117584,-0.050310542207619026,-0.382406190597089,0.022792893756086573,-0.013284484293572601,-0.013332386752446012,0.027587446375999424,-0.01982539800904396,1.3192229031777942,0.46809924625956456,-0.018253617532877082,0.0
0001558370-18-002486,-0.033651268026953444,-0.03442274513351371,-0.19412840412839893,-0.06596122287214425,1.3930712417658262,-0.10412917907526968,-0.013275888496573076,-0.013332380135254378,-0.00922742339009696,-0.03738441417708329,-0.21917332338721895,0.13594655240539505,-0.02682022592032309,0.0
0001558370-18-002500,-0.0496286856461653,-0.05083447648650903,-0.19409784776929684,-0.06256471418074541,-1.193867539940286,0.7699848930401753,-0.013272242399411575,-0.01333238691958027,0.027268717634155306,-0.03738491665790342,-0.2253442359924914,-0.3059054582793783,-0.027402613417840862,0.0
0001558370-18-002502,-0.0496286856461653,-0.05142166242483774,-0.19195878392490953,-0.06668184554492347,-1.2133426123245228,0.008152303333864474,-0.01328293398580889,-0.01333238690664806,0.027268717634155306,-0.03738491665790342,-0.2253442359924914,-0.3059054582793783,-0.03122895843559936,0.0
0001558370-18-002503,-0.0496286856461653,-0.05078677549264695,-0.19557649543261812,-0.05234695362176062,-1.1841300037481677,0.7866799735934501,-0.0133472041996108,-0.013332386922004526,0.027268717634155306,-0.03738491665790342,-0.2253442359924914,-0.3059054582793783,-0.02529127751924755,0.0
0001558370-18-002513,-0.049623822444320106,-0.05160457585090094,-0.1925407613091466,-0.06649123259780813,-0.31424343725226045,-0.30564837998139344,-0.013284624394587495,-0.013332367380501179,0.003179310544539124,-0.03676533156548392,-0.2152150439791328,-0.2989770677240405,-0.03332048959427495,0.0
0001558370-18-002552,-0.043385762831811225,0.041927265138004516,-0.06722893943342757,-0.06456111666621522,0.21482936251950402,-0.2985933482957638,-0.013284610222400786,-0.013332375084728143,0.026973745414351113,-0.03555608310142275,-0.029780731151925643,-0.20877019847319436,-0.04129151601241704,0.0
0001558370-18-002558,-0.04952402620212032,-0.0516084744919959,-0.18824698776705226,-0.06624747986220213,-0.596631986823693,-0.16105889590430034,-0.013284610422923504,-0.0133323847951907,0.027376097724693987,-0.030780631971348938,-0.15986126659104397,0.3809219974988842,-0.009087281499806874,0.0
0001558370-18-002595,-0.046674923641649206,0.08398629443713557,0.5392407759736874,-0.030694534898128987,0.12069984599569315,-0.22452242762185634,-0.013284615519708097,-0.013332521068085228,0.027466963400898423,0.0232644945605478,-0.16919135294431345,0.26818159847009404,0.03899124727524909,0.0
0001558370-18-002615,-0.04961513281847596,-0.051334414512664905,-0.1986808762006079,-0.06651901061994309,-0.1973930029468401,-0.01464129847559758,-0.01328461880404433,-0.013332177800526982,0.02718466502352573,-0.025613223644715504,-0.2253442359924914,0.3090314766444474,-0.018122165907932718,0.0
0001558441-18-000002,-0.04955702361029171,-0.10276256984224731,-0.1757488680555718,-0.028953417888569016,-0.08054256864141972,-0.04589402493196434,-0.013284593458819492,-0.013332381382591029,0.0266244588834758,-0.016600255130426674,-0.20430856493477653,-0.20121972455040465,-0.032534440307535266,0.0
0001558785-18-000019,-0.04878399151483168,-0.03586923971728598,-0.08479601765737302,-0.06670955524772897,-0.26555575629166867,0.4233831773442304,-0.013284623542383406,-0.013332381915477531,0.027451602530781338,0.011274480064601716,-0.2253442359924914,0.7898977979868919,0.04455161836811532,0.0
0001559053-18-000008,-0.04962937271794677,-0.01590440875515774,-0.23778096985479358,-0.06458773899117953,-0.4732898617235271,-0.231466606886658,-0.013284539570517088,-0.013332385211535656,-0.04246968922177916,-0.049552752098536025,-0.22487805741133418,-0.21633661575545968,-0.037440698540165664,0.0
0001559484-18-000004,-0.04962812876325976,-0.06148403732357984,-0.193355382577571,-0.06116025878563265,-0.7491867205002141,0.3299234360219305,-0.013284577970344132,-0.013332381732044804,0.027163231069050924,0.6593085645730062,-0.22287160392357003,-0.2117456629724844,-0.023018612587042568,0.0
