adsh,fraud,ddate,AccountsReceivable,Cash,CashFlowfromOps,CurrentLiabilities,Depreciation,Expenses,IntangibleAssets,OtherCurrentAssets,OtherIncome,OtherLiabilities,PPE,Sales,ShareholdersEquity,sum_of_first_digits,total_deviation
0001047469-12-006385,1.0,20101130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0,0.0,0.0,0.0,0.0,0.0,1340,0.003691428952
0001047469-12-006385,1.0,20101231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11300000.0,0.0,0.0,0.0,0.0,1340,0.003691428952
0001047469-12-006385,1.0,20110331.0,943156000.0,595258000.0,160197000.0,763165000.0,384465000.0,3269391086.0,1002723000.0,4820991000.0,26870000.0,1433480000.0,658544000.0,2378745000.0,5075347000.0,1340,0.003691428952
0001047469-12-006385,1.0,20120331.0,743915000.0,441238000.0,196179000.0,769168000.0,368127000.0,3472598115.0,1059079000.0,4846978000.0,7399000.0,1549489000.0,654841000.0,2335561000.0,6196077000.0,1340,0.003691428952
0001047469-13-006614,1.0,20100331.0,5870000.0,319944000.0,0.0,0.0,0.0,18.0,0.0,113628000.0,0.0,0.0,0.0,0.0,1010528000.0,1402,0.0022539833110000003
0001047469-13-006614,1.0,20101231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0,11300000.0,0.0,0.0,0.0,0.0,1402,0.0022539833110000003
0001047469-13-006614,1.0,20110331.0,58770000.0,598230000.0,160197000.0,40429000.0,124182000.0,3477612086.0,574984000.0,419181000.0,26870000.0,0.0,163445000.0,2362886000.0,1541056000.0,1402,0.0022539833110000003
0001047469-13-006614,1.0,20120331.0,743915000.0,759038000.0,196179000.0,769168000.0,335879000.0,3555961069.0,1005579000.0,4721409000.0,7399000.0,1549489000.0,738404000.0,2335561000.0,5291639000.0,1402,0.0022539833110000003
0001047469-13-006614,1.0,20120831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133500000.0,1402,0.0022539833110000003
0001047469-13-006614,1.0,20120930.0,0.0,133500000.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1402,0.0022539833110000003
0001047469-13-006614,1.0,20130331.0,624215000.0,486198000.85,117016000.0,628434000.0,359379000.0,3298821112.0,501707000.0,4072565000.0,4463000.0,1409791000.0,647437000.0,2122581000.0,3661967000.0,1402,0.0022539833110000003
0001047469-14-002521,1.0,20101231.0,0.0,5913000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42022000.0,986,0.007029894966
0001047469-14-002521,1.0,20111231.0,4437000.0,80067000.0,10147000.0,2870000.0,5951000.0,139295000.0,55701000.0,3199003.96,88582000.0,37983000.0,22230000.0,200138000.0,233918000.0,986,0.007029894966
0001047469-14-002521,1.0,20120331.0,0.0,0.0,0.0,0.0,0.0,33365000.0,0.0,154000.0,0.0,0.0,0.0,34147000.0,346000.0,986,0.007029894966
