,,,value,value,value,value,value,value,value
tag,,,CurrentAssets,Expenses,Goodwill,Income,Liabilities,LongtermAssets,ShareholdersEquity
fraud,adsh,ddate,,,,,,,
0.0,0000007039-18-000003,20170630.0,,,,74054000.0,,,
0.0,0000007039-18-000003,20170930.0,,,,73096000.0,,,
0.0,0000007039-18-000003,20171231.0,767563000.0,15911000.0,21798000.0,858836000.0,70832000.0,711732000.0,568348000.1
0.0,0000007084-18-000012,20141231.0,2761000000.0,,,,,,19630000000.0
0.0,0000007084-18-000012,20151231.0,47814000001.12,1571000000.0,264000000.0,150423000000.0,795000000.0,59707000000.0,22851000000.0
0.0,0000007084-18-000012,20160331.0,,,,15395000000.0,,,
0.0,0000007084-18-000012,20160630.0,101000000.17,,,16656000000.0,,,
0.0,0000007084-18-000012,20160930.0,-9000000.02,,,17263000000.0,,,
0.0,0000007084-18-000012,20161231.0,258750000001.2,1979000033.03,2246000000.0,154605000000.0,100353000000.0,160735000000.0,60355000000.0
0.0,0000007084-18-000012,20170331.0,,,,16199000000.0,,,
0.0,0000007084-18-000012,20170630.0,-22000000.04,,,16106000000.0,,,
0.0,0000007084-18-000012,20170930.0,10000000.02,,,15831000000.0,551999999.99,,
0.0,0000007084-18-000012,20171231.0,267277000001.28,1603000122.4499998,2276000000.0,153653000000.0,110535000000.0,180002000000.0,49668000000.0
0.0,0000007332-18-000016,20141231.0,7596000000.0,2654000000.0,,,,,4662000000.0
0.0,0000007332-18-000016,20150630.0,60000000.0,,,,,944000000.0,
0.0,0000007332-18-000016,20150930.0,40000000.0,,,,,1746000000.0,
0.0,0000007332-18-000016,20151231.0,56993000000.0,16957000000.0,,-32203000000.0,8041000000.0,16437000000.0,905000000.0
0.0,0000007332-18-000016,20160331.0,,,,-521000000.0,,1675000000.0,-1159000000.0
0.0,0000007332-18-000016,20160630.0,,,,30000000.0,,767000000.0,-620000000.0
0.0,0000007332-18-000016,20160930.0,,,,-74000000.0,,1323000000.0,-735000000.0
0.0,0000007332-18-000016,20161231.0,40513000000.0,32499000000.0,,-1799000000.0,31381000000.0,98265000000.0,1602000000.0100002
0.0,0000007332-18-000016,20170331.0,,,,1112000000.0,,,281000000.0
0.0,0000007332-18-000016,20170630.0,,,,999000000.0,-11000000.0,,224000000.0
0.0,0000007332-18-000016,20170930.0,,,,847000000.0,112000000.0,,43000000.0
0.0,0000007332-18-000016,20171231.0,98423000000.0,38156000044.89,,16560000000.0,30783000000.0,108014000000.0,5207000000.01
0.0,0000007789-18-000013,20141231.0,1094680000.0,,,,,,2800251000.0
