fraud,adsh,ddate,CurrentAssets,Expenses,Goodwill,Income,Liabilities,LongtermAssets,ShareholdersEquity,
0,0000012927-18-000007,20160930,,,,48803000000,,,,
0,0000012927-18-000007,20161231,467075000000,86879000073,5522000000,362765000015,232522000000,130785000000,95154000014,
0,0000012927-18-000007,20170228,,,,,1771000000,,,
0,0000012927-18-000007,20170331,,,,41715000000,,,,
0,0000012927-18-000007,20170630,,,,45423000000,,,2.84,
0,0000012927-18-000007,20170930,,,,48838000000,,,,
0,0000012927-18-000007,20171231,493879000000,89796000307,5794000000,384926000027,241735000000,139684000000,129132000016,
0,0000013239-18-000007,20141231,744000000,,,,,,-2350000000,
0,0000013239-18-000007,20151231,937000000,3678000000,122000000,12962000000,999000000,1253000000,-2863000000,
0,0000013239-18-000007,20161231,8296000002,3300000004,369000000,11250000000,13632000000,9388000000,-7195000000,
0,0000013239-18-000007,20170331,0,,,,,,,
0,0000013239-18-000007,20170930,13000000,,,,,,,
0,0000013239-18-000007,20171231,8495000004,3444000012,379000000,10612000000,18970000001,9150000000,-8043000000,
0,0000014195-18-000008,20160430,,,,,,,50000000,
0,0000014195-18-000008,20160630,89839000,,,44367000,,,-338450000,
0,0000014195-18-000008,20160930,,,,,,,-334336000,
0,0000014195-18-000008,20161231,103564000,920872000,,3171917000,107937000,766750000,-232980980.3,
0,0000014195-18-000008,20170630,4453228000,73562000,161649000,57576000,3663387000,2559453000,1688734000,
0,0000014195-18-000008,20170930,,,,,,,-293910000,
0,0000014195-18-000008,20171231,4975655000,1112928000,164312000,3224578000,4293651000,3435936000,1726453023,
0,0000014272-18-000055,20141231,6505000000,,,,,,,
0,0000014272-18-000055,20151231,4179000000,29850000000,,46534000000,10391000000,8958000000,1328000001,
0,0000014272-18-000055,20160331,41129000000,95000000,,9867000000,,,14562000000,
0,0000014272-18-000055,20160630,42346000000,74000000,,10584000000,,,15100000000,
0,0000014272-18-000055,20160930,43744000000,147000000,,10988000000,,,15794000000,
0,0000014272-18-000055,20161231,170151000000,36872000000,6875000000,100080000000,91148000000,40081000000,91468000002,
0,0000014272-18-000055,20170331,44084000000,10000000,,11171000000,,,14428000000,
0,0000014272-18-000055,20170630,43790000000,771000000,,10317000000,,,14827000000,
0,0000014272-18-000055,20170930,45603000000,799000000,,10770000000,,,14925000000,
0,0000014272-18-000055,20171231,150764000000,46730000000,6863000000,89108000000,113503000000,39854000000,81215000114,
0,0000014693-18-000016,20160430,263000000,,,,,,,
0,0000014693-18-000016,20170131,372000000.6,1493000000,,8723000000,698000000,1760000000,1110000001,
0,0000014693-18-000016,20170430,12157000000,272000000,753000000,,14053000000,713000000,8358000000,
0,0000014693-18-000016,20180131,14698000001,1931000000,783000000,9801000000,16496000000,2728000000,3704000003,
0,0000014846-18-000013,20160930,27399000,,,,,,,
0,0000014846-18-000013,20161231,141627000,42359000,,253716000,86705000,67080000,182738000,
0,0000014846-18-000013,20170930,1043142000,208637000,,,2471263000,4661943000,366787000,
0,0000014846-18-000013,20171231,1061282200,267278000,,79933000,2546077200,4902282000,436705000,
0,0000014930-18-000056,20141231,573100000,,,,,,1171500000,
0,0000014930-18-000056,20151231,1798000000,319300000,298700000,9003700005,144900000,1107600000,2192200001,
0,0000014930-18-000056,20160331,,3800000,,1394600001,,,86.51,
0,0000014930-18-000056,20160630,,2600000,,1719500002,,,92.93,
